videoId,título,publicado,duración,playlist(s),enlace,categoría ID,vistas,likes,comentarios,privacidad,actualizado,usuariosUnicos,usuariosZoom,Ayudante
jMtjszDTNWQ,Cálculo 2 - Ayudantía 0 Parte 2: Suma Telescópica [Fernando S.],6/04/2025 18:40:50,0:23:35,Cálculo 2 [1-2025],https://youtu.be/jMtjszDTNWQ,24,263,8,0,public,28/05/2025 22:46:14,,,Fernando S.
edPAVcfjDYQ,Cálculo 2 - Ayudantía 0 Parte 1: Riemann Normal [Fernando S.],6/04/2025 18:39:48,0:20:04,Cálculo 2 [1-2025],https://youtu.be/edPAVcfjDYQ,24,421,13,0,public,28/05/2025 22:46:14,,,Fernando S.
8CShddZTX8I,Fundamentos de Economía - Ayudantía 2 [Benjamín Sepúlveda],4/04/2025 21:25:12,1:04:43,Fundamentos de Economía [1-2025],https://youtu.be/8CShddZTX8I,24,678,12,0,public,27/05/2025 21:46:15,,,Benjamín Sepúlveda
AQfrpJU1YrA,Física 2 - Ayudantía 0: Preparando el Control 1 [Aisaac M.],4/04/2025 0:16:38,1:31:58,Física 2 [1-2025],https://youtu.be/AQfrpJU1YrA,24,682,11,1,public,26/05/2025 22:46:17,,,Aisaac M.
BWmbveIU7zk,Cálculo 1 - Ayudantía 2: Inecuaciones [Mohamed Al-Marzuk],1/04/2025 14:06:15,0:58:40,Cálculo 1 [1-2025],https://youtu.be/BWmbveIU7zk,24,1064,21,0,public,12/05/2025 22:46:15,,,Mohamed Al-Marzuk
J-DtA5_bbzA,Física 1 - Ayudantía 0: Análisis Dimensional y Conversión de unidades [Aisaac M.],28/03/2025 23:35:24,1:50:25,Física 1 [1-2025],https://youtu.be/J-DtA5_bbzA,24,2442,70,1,public,7/05/2025 1:46:14,,,Aisaac M.
f-Ef55ZH3Ts,Fundamentos de Economía: Ayudantía Express para la Pep 1 [Benjamín Sepúlveda],7/05/2025 1:51:11,3:13:50,Fundamentos de Economía [1-2025],https://youtu.be/f-Ef55ZH3Ts,24,897,25,1,public,28/05/2025 22:46:14,,,
3zAufFt83VA,Álgebra 1 - Ayudantía 7: Principio de Inducción [Maxi Rodríguez],12/05/2025 23:01:28,1:12:31,—,https://youtu.be/3zAufFt83VA,24,1434,44,1,public,28/05/2025 22:46:14,,,
gjY5AsY8kxA,Cálculo 1 - Ayudantía 11: Asíntotas [Mohamed Al-Marzuk],13/05/2025 23:08:01,1:20:48,Cálculo 1 [1-2025],https://youtu.be/gjY5AsY8kxA,24,1364,36,0,public,28/05/2025 22:46:14,,,
35TQPeyRHu4,Álgebra 1 - Ayudantía 8: Sumatorias [Maxi Rodríguez],26/05/2025 22:48:36,1:13:56,—,https://youtu.be/35TQPeyRHu4,24,278,14,0,public,28/05/2025 22:46:14,,,
I9cWKpwf4Nw,"Cálculo 1 - Ayudantía 12: Función trigonométrica, exponencial y logarítmica [Mohamed Al-Marzuk]",27/05/2025 22:45:31,1:28:27,Cálculo 1 [1-2025],https://youtu.be/I9cWKpwf4Nw,24,88,6,0,public,28/05/2025 22:46:14,,,
